gene_symbol	STRING_id	regulation
ACTG1	9606.ENSP00000458162	Up
ATP1A2	9606.ENSP00000354490	Down
ATP1B1	9606.ENSP00000356790	Up
ATP2A1	9606.ENSP00000349595	Down
CCND1	9606.ENSP00000227507	Up
DIO1	9606.ENSP00000354643	Down
DIO3	9606.ENSP00000427336	Down
FXYD2	9606.ENSP00000292079	Down
GATA4	9606.ENSP00000435712	Down
ITGAV	9606.ENSP00000261023	Up
KAT2A	9606.ENSP00000225916	Down
MED13	9606.ENSP00000380888	Up
MYC	9606.ENSP00000478887	Down
MYH6	9606.ENSP00000386041	Down
MYH7	9606.ENSP00000347507	Down
NOTCH1	9606.ENSP00000498587	Down
NOTCH4	9606.ENSP00000364163	Down
PFKFB2	9606.ENSP00000356047	Down
PIK3R2	9606.ENSP00000222254	Up
PLCD3	9606.ENSP00000479636	Up
PLCD4	9606.ENSP00000388631	Down
PLCG1	9606.ENSP00000244007	Down
PLN	9606.ENSP00000350132	Down
PRKCA	9606.ENSP00000408695	Down
PRKCG	9606.ENSP00000263431	Down
RXRG	9606.ENSP00000352900	Up
SLCO1C1	9606.ENSP00000444149	Down
STAT1	9606.ENSP00000354394	Up
TBC1D4	9606.ENSP00000366863	Down
