gene_symbol	logFC	AveExpr	adj.P.Val	regulation	B	in_kegg
MYH7	-5.593	3.65	7.3e-224	Down	506.9	TRUE
RXRG	5.284	8.75	3.3e-149	Up	333.2	TRUE
DIO3	-4.975	3.87	4.4e-168	Down	377.1	TRUE
MYH6	-4.423	2.65	1.5e-157	Down	352.6	TRUE
ATP2A1	-2.828	5.06	1.3e-169	Down	380.9	TRUE
CCND1	2.649	13.14	1.0e-214	Up	485.1	TRUE
DIO1	-2.603	9.55	 2.4e-27	Down	51	TRUE
PLCD3	2.384	10.85	 1.2e-95	Up	209.3	TRUE
ATP1A2	-2.296	6.93	 1.2e-85	Down	186	TRUE
PLN	-2.29	7.37	 5.9e-97	Down	212.4	TRUE
KAT2A	-1.799	11.29	6.1e-136	Down	302.4	TRUE
FXYD2	-1.74	4.17	 1.9e-75	Down	162.3	TRUE
TBC1D4	-1.635	10.58	 2.1e-94	Down	206.4	TRUE
STAT1	1.574	12.29	 5.8e-73	Up	156.5	TRUE
PLCD4	-1.529	7.03	 2.9e-71	Down	152.6	TRUE
PLCG1	-1.427	11.99	5.8e-141	Down	314.1	TRUE
ACTG1	1.412	16.57	1.7e-119	Up	264.4	TRUE
PIK3R2	1.345	2.15	 1.8e-14	Up	21.3	TRUE
GATA4	-1.311	1	 2.1e-55	Down	115.8	TRUE
NOTCH4	-1.212	10.86	 9.4e-64	Down	135.1	TRUE
